275 cells to archive (of 278 requested)
[161/275] ok   h3_n037: VERIFIED t=0.6s
[162/275] ok   h4_n017: VERIFIED t=0.64s
[163/275] ok   g6_n013: VERIFIED t=0.51s
[164/275] ok   h3_n038: VERIFIED t=0.52s
[165/275] ok   g3_n028: VERIFIED t=0.41s
[166/275] ok   g4_n018: VERIFIED t=1.23s
[167/275] ok   h3_n039: VERIFIED t=0.64s
[168/275] ok   g3_n029: VERIFIED t=0.46s
[169/275] ok   h4_n018: VERIFIED t=0.62s
[170/275] ok   h3_n040: VERIFIED t=0.52s
[171/275] ok   h5_n015: VERIFIED t=0.77s
[172/275] ok   g4_n019: VERIFIED t=1.27s
[173/275] ok   h3_n041: VERIFIED t=0.72s
[174/275] ok   g3_n030: VERIFIED t=0.43s
[175/275] ok   h3_n042: VERIFIED t=0.66s
[176/275] ok   g5_n013: VERIFIED t=0.9s
[177/275] ok   g3_n031: VERIFIED t=0.41s
[178/275] ok   h4_n019: VERIFIED t=0.65s
[179/275] ok   h3_n043: VERIFIED t=0.54s
[180/275] ok   g4_n020: VERIFIED t=1.96s
[181/275] ok   g3_n032: VERIFIED t=0.44s
[182/275] ok   h3_n044: VERIFIED t=0.6s
[183/275] ok   g4_n021: VERIFIED t=2.54s
[184/275] ok   h4_n020: VERIFIED t=1.49s
[185/275] ok   h3_n045: VERIFIED t=0.6s
[186/275] ok   g3_n033: VERIFIED t=0.44s
[187/275] ok   h4_n021: VERIFIED t=1.27s
[188/275] ok   h3_n046: VERIFIED t=0.52s
[189/275] ok   g3_n034: VERIFIED t=0.45s
[190/275] ok   g4_n022: VERIFIED t=2.61s
[191/275] ok   h3_n047: VERIFIED t=0.74s
[192/275] ok   h5_n016: VERIFIED t=1.26s
[193/275] ok   h4_n022: VERIFIED t=1.6s
[194/275] ok   g6_n014: VERIFIED t=0.83s
[195/275] ok   h3_n048: VERIFIED t=0.8s
[196/275] ok   g3_n035: VERIFIED t=0.4s
[197/275] ok   g4_n023: VERIFIED t=2.62s
[198/275] ok   h3_n049: VERIFIED t=0.83s
[199/275] ok   g3_n036: VERIFIED t=0.56s
[200/275] ok   g5_n014: VERIFIED t=2.01s
[201/275] ok   g4_n024: VERIFIED t=5.39s
[202/275] ok   h4_n023: VERIFIED t=1.7s
[203/275] ok   h3_n050: VERIFIED t=0.71s
[204/275] ok   g3_n037: VERIFIED t=0.42s
[205/275] ok   g3_n038: VERIFIED t=0.5s
[206/275] ok   h4_n024: VERIFIED t=2.02s
[207/275] ok   g4_n025: VERIFIED t=5.19s
[208/275] ok   g4_n026: VERIFIED t=5.96s
[209/275] ok   h4_n025: VERIFIED t=3.5s
[210/275] ok   g3_n039: VERIFIED t=0.49s
[211/275] ok   h5_n017: VERIFIED t=2.36s
[212/275] ok   g3_n040: VERIFIED t=0.6s
[213/275] ok   h4_n026: VERIFIED t=4.11s
[214/275] ok   g4_n027: VERIFIED t=5.99s
[215/275] ok   g3_n041: VERIFIED t=0.57s
[216/275] ok   g4_n028: VERIFIED t=9.44s
[217/275] ok   g3_n042: VERIFIED t=0.52s
[218/275] ok   h4_n027: VERIFIED t=4.19s
[219/275] ok   g3_n043: VERIFIED t=0.54s
[220/275] ok   g4_n029: VERIFIED t=7.02s
[221/275] ok   h4_n028: VERIFIED t=7.07s
[222/275] ok   g3_n044: VERIFIED t=0.52s
[223/275] ok   g6_n015: VERIFIED t=1.85s
[224/275] ok   g3_n045: VERIFIED t=0.51s
[225/275] ok   h4_n029: VERIFIED t=3.81s
[226/275] ok   g4_n030: VERIFIED t=12.89s
[227/275] ok   h5_n018: VERIFIED t=3.64s
[228/275] ok   g3_n046: VERIFIED t=0.64s
[229/275] ok   h4_n030: VERIFIED t=4.89s
[230/275] ok   g3_n047: VERIFIED t=0.58s
[231/275] ok   g4_n031: VERIFIED t=11.34s
[232/275] ok   h4_n031: VERIFIED t=7.29s
[233/275] ok   g3_n048: VERIFIED t=0.66s
[234/275] ok   g4_n032: VERIFIED t=14.2s
[235/275] ok   g3_n049: VERIFIED t=0.65s
[236/275] ok   h4_n032: VERIFIED t=4.57s
[237/275] ok   g3_n050: VERIFIED t=0.67s
[238/275] ok   g4_n033: VERIFIED t=17.73s
[239/275] ok   h4_n033: VERIFIED t=5.08s
[240/275] ok   h4_n034: VERIFIED t=9.63s
[241/275] ok   g4_n034: VERIFIED t=17.19s
[242/275] ok   h5_n019: VERIFIED t=5.9s
[243/275] ok   g4_n035: VERIFIED t=12.61s
[244/275] ok   h4_n035: VERIFIED t=9.53s
[245/275] ok   g4_n036: VERIFIED t=23.54s
[246/275] ok   h4_n036: VERIFIED t=8.52s
[247/275] ok   g5_n016: VERIFIED t=32.24s
[248/275] ok   h4_n037: VERIFIED t=13.8s
[249/275] ok   g4_n037: VERIFIED t=35.15s
[250/275] ok   h4_n038: VERIFIED t=15.47s
[251/275] ok   g6_n016: VERIFIED t=6.07s
[252/275] ok   h4_n039: VERIFIED t=12.89s
[253/275] ok   h5_n020: VERIFIED t=15.78s
[254/275] ok   h4_n040: VERIFIED t=12.77s
[255/275] ok   h4_n041: VERIFIED t=14.37s
[256/275] ok   h4_n042: VERIFIED t=15.62s
[257/275] ok   g5_n018: VERIFIED t=154.04s
[258/275] ok   h4_n043: VERIFIED t=15.49s
[259/275] ok   h4_n044: VERIFIED t=23.17s
